OrderID,Quantity,UnitPrice(USD),Status,OrderDate,Product_Category,Sales_Manager,Shipping_Cost(USD),Delivery_Time(Days),Shipping_Address,Product_Code,OrderCode
2951110000999929511,92,238,Not Delivered,2021-08-08,Healthcare,Pablo,21,25,Singapore,HC-188,444116
2181910000999921819,61,136,Not Delivered,2021-10-03,Office,Pablo,34,14,UK,O-555,444772
3239110000999932391,67,235,Not Delivered,2021-09-27,Office,Kristen,25,11,Kenya,O-188,444666
1112610000999911126,33,133,Not Shipped,2021-07-30,Fashion,Abdul,34,24,USA,F-555,444007
1548310000999915483,13,189,Not Delivered,2021-08-15,Fashion,Stella,24,19,Kenya,F-555,444223
4934810000999949348,51,204,Not Delivered,2021-11-13,Entertainment,Abdul,32,18,UK,ENT-188,445113
2750410000999927504,73,242,Not Delivered,2021-07-08,Healthcare,Emma,34,10,UK,HC-555,443885
4797510000999947975,48,240,Delivered,2021-10-04,Fashion,Abdul,22,21,Kenya,F-203,444773
2804110000999928041,31,163,Not Shipped,2021-12-23,Fashion,Abdul,34,16,Kenya,F-901,445553
1735910000999917359,62,214,Not Delivered,2021-08-14,Fashion,John,22,17,Germany,F-901,444222
4337210000999943372,57,226,Not Shipped,2021-09-27,Home,John,24,14,UK,H-555,444666
2596010000999925960,44,246,Delivered,2021-07-11,Office,Stella,20,12,Kenya,O-555,443888
3882310000999938823,78,219,Delivered,2021-10-29,Entertainment,Emma,24,19,USA,ENT-901,444998
4583610000999945836,46,208,Not Shipped,2021-07-28,Home,Jacob,29,19,UK,H-188,444005
2559910000999925599,55,233,Not Delivered,2021-07-15,Healthcare,Kristen,25,18,India,HC-555,443992
1444810000999914448,5,119,Not Shipped,2021-10-13,Office,Stella,33,20,India,O-555,444882
2808810000999928088,96,115,Delivered,2021-10-17,Home,Jacob,30,25,Kenya,H-901,444886
1932510000999919325,62,237,Delivered,2021-08-24,Fashion,Stella,32,13,Italy,F-203,444332
3105110000999931051,79,213,Delivered,2021-10-26,Home,Abdul,27,14,China,H-203,444995
4276410000999942764,83,224,Not Delivered,2021-07-10,Healthcare,Sofia,24,24,Kenya,HC-203,443887
2469010000999924690,15,156,Shipped,2021-12-13,Entertainment,Pablo,29,19,Germany,ENT-101,445443
4030410000999940304,21,123,Not Delivered,2021-10-10,Entertainment,Kristen,30,15,India,ENT-188,444779
2111510000999921115,74,250,Delivered,2021-12-08,Healthcare,Maria,25,21,Italy,HC-901,445338
3629310000999936293,78,155,Delivered,2021-12-02,Entertainment,Anthony,35,12,China,ENT-188,445332
3509310000999935093,8,119,Shipped,2021-11-01,Healthcare,Jacob,32,10,UK,HC-188,445001
3063710000999930637,100,173,Not Delivered,2021-12-22,Office,Jacob,21,23,Germany,O-630,445552
2958410000999929584,53,141,Shipped,2021-10-29,Home,Pablo,34,18,Italy,H-203,444998
4956110000999949561,1,154,Not Shipped,2021-10-04,Fashion,Pablo,26,23,China,F-555,444773
3091810000999930918,45,211,Delivered,2021-09-15,Entertainment,Emma,34,14,Germany,ENT-630,444554
3348510000999933485,1,212,Delivered,2021-12-18,Home,Sofia,31,24,Kenya,H-203,445448
1408910000999914089,7,130,Delivered,2021-07-04,Healthcare,Sofia,20,,UK,HC-630,443881
3997910000999939979,61,134,Shipped,2021-07-03,Entertainment,Anthony,33,16,Kenya,ENT-901,443880
1859110000999918591,22,155,Shipped,2021-08-14,Home,Jacob,35,13,Kenya,H-203,444222
3255510000999932555,96,202,Delivered,2021-08-20,Office,Anthony,22,24,Italy,O-555,444228
4097010000999940970,72,200,Delivered,2021-12-12,Fashion,Emma,28,16,UK,F-555,445442
2665510000999926655,4,219,Shipped,2021-12-18,Office,Stella,33,17,Germany,O-901,445448
4273710000999942737,97,202,Shipped,2021-07-04,Fashion,Anthony,23,22,Italy,F-203,443881
3971010000999939710,21,245,Delivered,2021-10-04,Home,Sofia,26,16,Germany,H-101,444773
1908510000999919085,15,160,Shipped,2021-10-04,Home,Kristen,21,16,UK,H-555,444773
3092710000999930927,91,129,Not Shipped,2021-11-21,Home,Anthony,25,25,Italy,H-555,445221
3353310000999933533,68,224,Not Shipped,2021-12-30,Healthcare,Anthony,31,23,Singapore,HC-188,445660
4473810000999944738,10,230,Not Delivered,2021-11-01,Healthcare,Jacob,31,12,Kenya,HC-101,445001
3977310000999939773,11,212,Not Shipped,2021-09-02,Home,Stella,26,18,China,H-101,444441
2706410000999927064,3,156,Shipped,2021-07-16,Entertainment,Jacob,30,11,Germany,ENT-630,443993
1559510000999915595,94,123,Delivered,2021-11-15,Fashion,Maria,22,12,UK,F-630,445115
3199510000999931995,49,220,Not Shipped,2021-12-06,Healthcare,Jacob,32,19,Italy,HC-901,445336
3847710000999938477,23,225,Not Shipped,2021-11-27,Healthcare,Kristen,24,12,India,HC-901,445227
2097210000999920972,62,216,Delivered,2021-10-09,Home,Emma,20,10,India,H-188,444778
4983010000999949830,13,228,Shipped,2021-10-13,Office,Maria,28,18,Singapore,O-555,444882
4623810000999946238,9,207,Shipped,2021-10-20,Home,Pablo,32,21,UK,H-203,444889
1030910000999910309,7,152,Not Shipped,2021-10-19,Fashion,Maria,32,12,Singapore,F-630,444888
4730410000999947304,38,224,Delivered,2021-07-07,Fashion,Emma,30,24,Germany,F-630,443884
2186010000999921860,31,141,Not Shipped,2021-10-26,Fashion,Emma,24,18,USA,F-901,444995
1367410000999913674,96,169,Shipped,2021-10-07,Home,Emma,23,12,China,H-901,444776
4861510000999948615,100,237,Shipped,2021-10-03,Office,John,25,13,Italy,O-101,444772
4371410000999943714,73,191,Not Delivered,2021-11-16,Healthcare,Jacob,33,15,USA,HC-630,445116
3594610000999935946,1,196,Delivered,2021-11-11,Healthcare,John,35,21,USA,HC-188,445111
2585010000999925850,23,143,Delivered,2021-08-24,Office,Jacob,27,17,Germany,O-188,444332
3535810000999935358,12,223,Not Delivered,2021-12-10,Healthcare,Emma,29,16,UK,HC-630,445440
4574510000999945745,7,244,Not Shipped,2021-10-04,Home,John,33,12,India,H-203,444773
3482510000999934825,65,238,Not Delivered,2021-10-17,Entertainment,Emma,26,16,USA,ENT-101,444886
2276510000999922765,74,238,Not Shipped,2021-09-18,Healthcare,Pablo,30,16,India,HC-555,444557
4016710000999940167,62,176,Not Delivered,2021-10-29,Office,Anthony,21,22,Germany,O-101,444998
2491710000999924917,52,243,Shipped,2021-09-16,Office,Kristen,21,18,Germany,O-630,444555
1999610000999919996,50,197,Delivered,2021-08-27,Home,Sofia,30,15,Germany,H-630,444335
4497510000999944975,79,131,Delivered,2021-08-18,Entertainment,Anthony,22,10,Singapore,ENT-203,444226
1828510000999918285,57,246,Not Delivered,2021-10-18,Entertainment,Kristen,23,23,Singapore,ENT-188,444887
2758210000999927582,40,198,Not Delivered,2021-10-20,Fashion,Abdul,33,15,Germany,F-901,444889
2795210000999927952,73,136,Shipped,2021-11-24,Entertainment,Abdul,24,17,Singapore,ENT-188,445224
1506410000999915064,47,197,Delivered,2021-11-16,Office,Pablo,21,11,Singapore,O-203,445116
3082710000999930827,92,201,Shipped,2021-10-02,Office,John,27,24,Kenya,O-203,444771
3694810000999936948,7,156,Not Delivered,2021-11-01,Entertainment,Stella,34,23,Kenya,ENT-203,445001
2220910000999922209,85,155,Delivered,2021-10-13,Entertainment,Pablo,28,19,Singapore,ENT-101,444882
2895910000999928959,83,112,Shipped,2021-08-20,Entertainment,Stella,22,25,Italy,ENT-188,444228
3226110000999932261,30,163,Not Delivered,2021-12-24,Entertainment,Maria,27,11,China,ENT-555,445554
3703610000999937036,38,109,Not Shipped,2021-11-24,Home,Sofia,23,17,UK,H-555,445224
3767010000999937670,21,163,Delivered,2021-10-04,Home,Anthony,28,22,Germany,H-630,444773
2670010000999926700,18,239,Not Delivered,2021-07-17,Entertainment,Stella,21,13,USA,ENT-630,443994
3457310000999934573,95,182,Not Shipped,2021-11-16,Healthcare,John,28,25,Singapore,HC-203,445116
2199310000999921993,35,219,Not Delivered,2021-07-30,Office,Stella,24,,Kenya,O-630,444007
4826510000999948265,48,230,Delivered,2021-09-06,Fashion,Maria,29,19,Italy,F-188,444445
2578110000999925781,51,121,Not Delivered,2021-10-19,Fashion,Abdul,30,12,UK,F-630,444888
3992610000999939926,84,160,Delivered,2021-08-08,Fashion,Pablo,26,14,USA,F-188,444116
1706910000999917069,59,168,Not Delivered,2021-10-01,Entertainment,Kristen,32,19,China,ENT-901,444770
