First row before header,,,,,,,,,,,
Second row before header,,,,,,,,,,,
Third row before header,,,,,,,,,,,
OrderID,Quantity,UnitPrice(USD),Status,OrderDate,Product_Category,Sales_Manager,Shipping_Cost(USD),Delivery_Time(Days),Shipping_Address,Product_Code,OrderCode
2.95E+18,92,238,Not Delivered,8/8/2021,Healthcare,Pablo,21,25,Singapore,HC-188,444116
2.18E+18,61,136,Not Delivered,10/3/2021,Office,Pablo,34,14,UK,O-555,444772
3.24E+18,67,235,Not Delivered,9/27/2021,Office,Kristen,25,11,Kenya,O-188,444666
1.11E+18,33,133,Not Shipped,7/30/2021,Fashion,Abdul,34,24,USA,F-555,444007
1.55E+18,13,189,Not Delivered,8/15/2021,Fashion,Stella,24,19,Kenya,F-555,444223
4.93E+18,51,204,Not Delivered,11/13/2021,Entertainment,Abdul,32,18,UK,ENT-188,445113
2.75E+18,73,242,Not Delivered,7/8/2021,Healthcare,Emma,34,10,UK,HC-555,443885
4.80E+18,48,240,Delivered,10/4/2021,Fashion,Abdul,22,21,Kenya,F-203,444773
2.80E+18,31,163,Not Shipped,12/23/2021,Fashion,Abdul,34,16,Kenya,F-901,445553
1.74E+18,62,214,Not Delivered,8/14/2021,Fashion,John,22,17,Germany,F-901,444222
4.34E+18,57,226,Not Shipped,9/27/2021,Home,John,24,14,UK,H-555,444666
2.60E+18,44,246,Delivered,7/11/2021,Office,Stella,20,12,Kenya,O-555,443888
3.88E+18,78,219,Delivered,10/29/2021,Entertainment,Emma,24,19,USA,ENT-901,444998
4.58E+18,46,208,Not Shipped,7/28/2021,Home,Jacob,29,19,UK,H-188,444005
2.56E+18,55,233,Not Delivered,7/15/2021,Healthcare,Kristen,25,18,India,HC-555,443992
1.44E+18,5,119,Not Shipped,10/13/2021,Office,Stella,33,20,India,O-555,444882
2.81E+18,96,115,Delivered,10/17/2021,Home,Jacob,30,25,Kenya,H-901,444886
1.93E+18,62,237,Delivered,8/24/2021,Fashion,Stella,32,13,Italy,F-203,444332
3.11E+18,79,213,Delivered,10/26/2021,Home,Abdul,27,14,China,H-203,444995
4.28E+18,83,224,Not Delivered,7/10/2021,Healthcare,Sofia,24,24,Kenya,HC-203,443887
2.47E+18,15,156,Shipped,12/13/2021,Entertainment,Pablo,29,19,Germany,ENT-101,445443
4.03E+18,21,123,Not Delivered,10/10/2021,Entertainment,Kristen,30,15,India,ENT-188,444779
2.11E+18,74,250,Delivered,12/8/2021,Healthcare,Maria,25,21,Italy,HC-901,445338
3.63E+18,78,155,Delivered,12/2/2021,Entertainment,Anthony,35,12,China,ENT-188,445332
3.51E+18,8,119,Shipped,11/1/2021,Healthcare,Jacob,32,10,UK,HC-188,445001
3.06E+18,100,173,Not Delivered,12/22/2021,Office,Jacob,21,23,Germany,O-630,445552
2.96E+18,53,141,Shipped,10/29/2021,Home,Pablo,34,18,Italy,H-203,444998
4.96E+18,1,154,Not Shipped,10/4/2021,Fashion,Pablo,26,23,China,F-555,444773
3.09E+18,45,211,Delivered,9/15/2021,Entertainment,Emma,34,14,Germany,ENT-630,444554
3.35E+18,1,212,Delivered,12/18/2021,Home,Sofia,31,24,Kenya,H-203,445448
1.41E+18,7,130,Delivered,7/4/2021,Healthcare,Sofia,20,,UK,HC-630,443881
4.00E+18,61,134,Shipped,7/3/2021,Entertainment,Anthony,33,16,Kenya,ENT-901,443880
1.86E+18,22,155,Shipped,8/14/2021,Home,Jacob,35,13,Kenya,H-203,444222
3.26E+18,96,202,Delivered,8/20/2021,Office,Anthony,22,24,Italy,O-555,444228
4.10E+18,72,200,Delivered,12/12/2021,Fashion,Emma,28,16,UK,F-555,445442
2.67E+18,4,219,Shipped,12/18/2021,Office,Stella,33,17,Germany,O-901,445448
4.27E+18,97,202,Shipped,7/4/2021,Fashion,Anthony,23,22,Italy,F-203,443881
3.97E+18,21,245,Delivered,10/4/2021,Home,Sofia,26,16,Germany,H-101,444773
1.91E+18,15,160,Shipped,10/4/2021,Home,Kristen,21,16,UK,H-555,444773
3.09E+18,91,129,Not Shipped,11/21/2021,Home,Anthony,25,25,Italy,H-555,445221
3.35E+18,68,224,Not Shipped,12/30/2021,Healthcare,Anthony,31,23,Singapore,HC-188,445660
4.47E+18,10,230,Not Delivered,11/1/2021,Healthcare,Jacob,31,12,Kenya,HC-101,445001
3.98E+18,11,212,Not Shipped,9/2/2021,Home,Stella,26,18,China,H-101,444441
2.71E+18,3,156,Shipped,7/16/2021,Entertainment,Jacob,30,11,Germany,ENT-630,443993
1.56E+18,94,123,Delivered,11/15/2021,Fashion,Maria,22,12,UK,F-630,445115
3.20E+18,49,220,Not Shipped,12/6/2021,Healthcare,Jacob,32,19,Italy,HC-901,445336
3.85E+18,23,225,Not Shipped,11/27/2021,Healthcare,Kristen,24,12,India,HC-901,445227
2.10E+18,62,216,Delivered,10/9/2021,Home,Emma,20,10,India,H-188,444778
4.98E+18,13,228,Shipped,10/13/2021,Office,Maria,28,18,Singapore,O-555,444882
4.62E+18,9,207,Shipped,10/20/2021,Home,Pablo,32,21,UK,H-203,444889
1.03E+18,7,152,Not Shipped,10/19/2021,Fashion,Maria,32,12,Singapore,F-630,444888
4.73E+18,38,224,Delivered,7/7/2021,Fashion,Emma,30,24,Germany,F-630,443884
2.19E+18,31,141,Not Shipped,10/26/2021,Fashion,Emma,24,18,USA,F-901,444995
1.37E+18,96,169,Shipped,10/7/2021,Home,Emma,23,12,China,H-901,444776
4.86E+18,100,237,Shipped,10/3/2021,Office,John,25,13,Italy,O-101,444772
4.37E+18,73,191,Not Delivered,11/16/2021,Healthcare,Jacob,33,15,USA,HC-630,445116
3.59E+18,1,196,Delivered,11/11/2021,Healthcare,John,35,21,USA,HC-188,445111
2.59E+18,23,143,Delivered,8/24/2021,Office,Jacob,27,17,Germany,O-188,444332
3.54E+18,12,223,Not Delivered,12/10/2021,Healthcare,Emma,29,16,UK,HC-630,445440
4.57E+18,7,244,Not Shipped,10/4/2021,Home,John,33,12,India,H-203,444773
3.48E+18,65,238,Not Delivered,10/17/2021,Entertainment,Emma,26,16,USA,ENT-101,444886
2.28E+18,74,238,Not Shipped,9/18/2021,Healthcare,Pablo,30,16,India,HC-555,444557
