Type,Depth,Magnitude,ID,Latitude,Longitude,Dates
Earthquake,131.6,6.0,ISCGEM860706,19.246,145.616,1965-01-02 13:44:18
Earthquake,80.0,5.8,ISCGEM860737,1.863,127.352,1965-01-04 11:29:49
Earthquake,20.0,6.2,ISCGEM860762,-20.579,-173.972,1965-01-05 18:05:58
Earthquake,15.0,5.8,ISCGEM860856,-59.076,-23.557,1965-01-08 18:49:43
Earthquake,15.0,5.8,ISCGEM860890,11.938,126.427,1965-01-09 13:32:50
Earthquake,35.0,6.7,ISCGEM860922,-13.405,166.629,1965-01-10 13:36:32
Earthquake,20.0,5.9,ISCGEM861007,27.357,87.867,1965-01-12 13:32:25
Earthquake,35.0,6.0,ISCGEM861111,-13.309,166.212,1965-01-15 23:17:42
Earthquake,95.0,6.0,ISCGEMSUP861125,-56.452,-27.043,1965-01-16 11:32:37
Earthquake,565.0,5.8,ISCGEM861148,-24.563,178.487,1965-01-17 10:43:17
Earthquake,227.9,5.9,ISCGEM861155,-6.807,108.988,1965-01-17 20:57:41
Earthquake,20.0,8.2,ISCGEM861299,-2.608,125.952,1965-01-24 00:11:17
Earthquake,55.0,5.5,ISCGEM861461,54.636,161.703,1965-01-29 09:35:30
Earthquake,482.9,5.6,ISCGEM859136,-18.697,-177.864,1965-02-01 05:27:06
Earthquake,15.0,6.0,ISCGEM859164,37.523,73.251,1965-02-02 15:56:51
Earthquake,10.0,6.1,ISCGEM859200,-51.84,139.741,1965-02-04 03:25:00
Earthquake,30.3,8.7,OFFICIAL19650204050122_30,51.251,178.715,1965-02-04 05:01:22
Earthquake,30.0,6.0,ISCGEMSUP859215,51.639,175.055,1965-02-04 06:04:59
Earthquake,25.0,5.7,ISCGEM859221,52.528,172.007,1965-02-04 06:37:06
Earthquake,25.0,5.8,ISCGEM859222,51.626,175.746,1965-02-04 06:39:32
Earthquake,25.0,5.9,ISCGEMSUP859230,51.037,177.848,1965-02-04 07:11:23
Earthquake,20.0,5.9,ISCGEM859231,51.73,173.975,1965-02-04 07:14:59
Earthquake,10.0,5.7,ISCGEM859233,51.775,173.058,1965-02-04 07:23:12
Earthquake,24.0,5.7,ISCGEMSUP859241,52.611,172.588,1965-02-04 07:43:43
Earthquake,31.8,5.7,ISCGEM859252,51.831,174.368,1965-02-04 08:06:17
Earthquake,20.0,5.6,ISCGEM859261,51.948,173.969,1965-02-04 08:33:41
Earthquake,30.0,7.3,ISCGEM859264,51.443,179.605,1965-02-04 08:40:44
Earthquake,30.0,6.5,ISCGEM859324,52.773,171.974,1965-02-04 12:06:08
Earthquake,20.0,5.6,ISCGEM859333,51.772,174.696,1965-02-04 12:50:59
Earthquake,25.0,6.4,ISCGEM859358,52.975,171.091,1965-02-04 14:18:29
Earthquake,25.0,5.8,ISCGEM859376,52.99,170.874,1965-02-04 15:51:25
Earthquake,25.0,5.8,ISCGEM859400,51.536,175.045,1965-02-04 18:34:12
Earthquake,10.0,5.8,ISCGEM859419,13.245,-44.922,1965-02-04 19:44:04
Earthquake,10.0,5.7,ISCGEM859449,51.812,174.206,1965-02-04 22:30:03
Earthquake,25.0,5.7,ISCGEM859516,51.762,174.841,1965-02-05 06:39:50
Earthquake,39.5,6.3,ISCGEM859539,52.438,174.321,1965-02-05 09:32:11
Earthquake,30.0,5.7,ISCGEM859570,51.946,173.84,1965-02-05 13:38:47
Earthquake,20.0,6.0,ISCGEM859611,51.738,174.566,1965-02-05 20:47:12
Earthquake,30.4,5.6,ISCGEM859620,51.487,176.558,1965-02-05 22:16:02
Earthquake,17.8,6.4,ISCGEM859637,53.008,-162.008,1965-02-06 01:40:32
Earthquake,27.7,6.2,ISCGEM859650,52.184,175.505,1965-02-06 04:02:54
Earthquake,30.1,5.6,ISCGEM859669,52.076,172.918,1965-02-06 07:14:45
